seed,fold,generation,best_fitness,mean_fitness,unique,best_rule
0,0,20,0.5799058251025906,0.23181544873673615,49,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,21,0.5799058251025906,0.2660148519016337,46,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,22,0.5915843136028706,0.2718644658239492,49,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,0,23,0.5915843136028706,0.3309747535438042,50,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,0,24,0.5943044326993925,0.39805820940133996,47,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.8)
0,1,0,0.6333009222541435,-0.3777200697995111,60,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.8)
0,1,1,0.6333009222541435,0.13211874026721054,58,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.8)
0,1,2,0.6535866365969966,0.16344893580509876,51,ENTRY zscore(50) < -1.21 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,3,0.6535866365969966,0.30760295154324896,52,ENTRY zscore(50) < -1.21 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,4,0.6535866365969966,0.40608133054694273,56,ENTRY zscore(50) < -1.21 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,5,0.6535866365969966,0.30370162841147635,57,ENTRY zscore(50) < -1.21 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,6,0.658927293040148,0.3439802237051266,58,ENTRY zscore(50) < -1.28 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,7,0.658927293040148,0.3811416214894672,60,ENTRY zscore(50) < -1.28 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,8,0.658927293040148,0.36640610626200665,58,ENTRY zscore(50) < -1.28 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,9,0.658927293040148,0.3867585611395036,53,ENTRY zscore(50) < -1.28 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,10,0.6617329549424583,0.3358916990656327,54,ENTRY zscore(50) < -1.21 | EXIT (vol(20) > 0.30 AND rsi(5) > 33.0)
0,1,11,0.6617329549424583,0.41830653469960705,52,ENTRY zscore(50) < -1.21 | EXIT (vol(20) > 0.30 AND rsi(5) > 33.0)
0,1,12,0.6623710592833969,0.4747354591685802,51,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.8)
0,1,13,0.6637623385671116,0.3648196279339168,51,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,14,0.6637623385671116,0.4377444925084391,57,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,15,0.6637623385671116,0.40181915646041033,57,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,16,0.6637623385671116,0.4447609942034168,56,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,17,0.6637623385671116,0.2011189520730167,58,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,18,0.6637623385671116,0.3977454274468883,57,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,19,0.6637623385671116,0.352414210411843,56,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,20,0.6637623385671116,0.28904476430268333,55,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,21,0.6637623385671116,0.32822589041813083,53,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 33.0)
0,1,22,0.6655148317686903,0.24241255615878893,55,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.2)
0,1,23,0.6655148317686903,0.2726088237862162,58,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.2)
0,1,24,0.6655148317686903,0.3976195574870418,52,ENTRY zscore(50) < -1.23 | EXIT (vol(10) > 0.30 AND rsi(5) > 32.2)
0,2,0,0.6138197340728321,-0.3996768667026396,60,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.30 AND rsi(5) > 32.8)
0,2,1,0.6138197340728321,0.018390929429212662,60,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.30 AND rsi(5) > 32.8)
0,2,2,0.626539654749888,0.19615780520182477,59,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,3,0.626539654749888,0.2514192611835628,59,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,4,0.626539654749888,0.19722315838971405,59,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,5,0.626539654749888,0.3066166691772207,60,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,6,0.626539654749888,0.3284822092881516,58,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
